"","Personal Doctor Count","Insurance Count","Total Respondents"
"AL",4571,5115,6272
"AK",10333,10694,12642
"AZ",4056,4229,5419
"AR",4299,4305,5386
"CA",2262,2379,2909
"CO",3285,3344,4144
"CT",3671,3751,4954
"DE",2006,2059,2325
"DC",1990,2241,2601
"FL",5099,5320,7487
"GA",4642,4727,6155
"HI",3908,4135,4851
"ID",4626,4639,5481
"IL",5778,5791,6584
"IN",4958,4886,5625
"IA",3249,3324,3871
"KS",3131,3573,4140
"KY",9876,10420,11141
"LA",2841,2842,3302
"ME",1765,1747,2328
"MD",4213,4415,5080
"MA",6215,6299,7454
"MI",5221,5666,6838
"MN",3225,3300,4248
"MS",8204,8519,10205
"MO",3267,3645,4678
"MT",6555,7329,9049
"NE",1874,2143,2308
"NV",3340,3319,4477
"NH",2715,2689,3150
"NJ",2016,2082,2644
"NM",2747,3011,3333
"NY",5968,6878,7695
"NC",2205,2262,2715
"ND",5553,6060,7446
"OH",2182,2364,3013
"OK",2177,2290,2646
"OR",4942,4994,6373
"PA",3222,3299,3626
"RI",1186,1445,1770
"SC",2586,2816,3324
"SD",2526,2563,3130
"TN",3161,3448,3810
"TX",3625,4049,5093
"UT",2274,2654,3339
"VT",1714,1968,2691
"VA",2995,3259,3684
"WA",3065,3120,3769
"WV",2381,2608,3202
"WI",4441,4654,5837
"WY",2387,2502,3071
"GU",2851,2969,3410
"PR",625,668,938
