"","Personal Doctor Count","Insurance Count","Total Respondents"
"AL",8774,9302,11240
"AK",4832,4979,5644
"AZ",3545,3720,4298
"AR",3207,3363,3748
"CA",2133,2268,2785
"CO",2690,2905,3417
"CT",2669,2828,3088
"DE",1977,2230,2746
"DC",1887,2025,2562
"FL",1990,2013,2544
"GA",2131,2534,3113
"HI",2499,2601,3178
"ID",4994,6107,6888
"IL",6304,6783,7240
"IN",2620,2633,3104
"IA",4934,5459,6207
"KS",2867,3221,3913
"KY",5163,5346,6234
"LA",4973,5418,6496
"ME",12070,12565,16393
"MD",3982,4123,4955
"MA",4277,5020,6049
"MI",1836,2195,2397
"MN",2135,2252,2691
"MS",3253,3769,4611
"MO",4065,4713,5681
"MT",3238,3499,3803
"NE",2756,2701,3544
"NV",3163,3432,4291
"NH",2518,2918,3316
"NJ",1502,1799,2162
"NM",5179,5340,6379
"NY",2164,2355,2844
"NC",4571,4847,5661
"ND",4119,4242,5195
"OH",3993,4186,5177
"OK",3079,3536,4498
"OR",2364,2716,2897
"PA",6627,7236,8412
"RI",3565,3791,5195
"SC",2577,2804,3153
"SD",2766,3003,3890
"TN",2173,2220,2512
"TX",3143,3534,3911
"UT",3949,4491,5387
"VT",3397,3398,3893
"VA",2164,2299,2873
"WA",1506,1843,2396
"WV",3117,3398,4036
"WI",2663,3264,3673
"WY",2783,2763,3132
"GU",1384,1608,2016
"PR",667,671,922
