"","Personal Doctor Count","Insurance Count","Total Respondents","Medicaid Expansion"
"AL",3034.70204238282,3126.42079120885,3831,0
"AK",1139.6877459852,1388.12720638567,1740,100
"AZ",2390.75894678388,2604.59528316391,3222,100
"AR",1847.19020318855,1839.94329236265,2350,100
"CA",6583.82361283538,7325.78971835331,8981,1
"CO",5212.36295799395,5535.67791312487,6766,1
"CT",2882.27545785191,2983.49010480159,3394,1
"DE",2077.36844876242,2080.26767144478,2379,1
"DC",1812.46432095513,2072.01499927495,2267,1
"FL",4655.31995705471,4713.45870757674,6130,0
"GA",3624.001357207,3725.4288557096,4950,0
"HI",3152.19270997902,3431.0631078938,3790,1
"ID",2171.49926167047,2326.45285564147,3021,0
"IL",2209.66717262304,2224.95890119217,2732,1
"IN",3459.34204551811,3398.12819547699,4210,100
"IA",2988.91536079193,3236.70045508584,3657,100
"KS",8280.25966903996,8539.50394297917,10316,0
"KY",4341.70873309447,4453.05029544836,5418,1
"LA",4102.14198938335,4245.0188239536,5438,0
"ME",5800.08915408983,5740.98994651931,6578,0
"MD",4133.04300940937,4404.37633374791,5038,1
"MA",9854.93828743075,10388.9601930713,11085,1
"MI",4602.1534681941,4641.54087064439,5485,100
"MN",5897.65065875223,6764.16090394096,7660,1
"MS",3293.51548629151,3349.05694136652,4431,0
"MO",2573.94464525683,2640.41181326529,3187,0
"MT",3620.21391589191,4088.18836321839,5096,0
"NE",10324.6401517841,10630.0656051533,12627,0
"NV",1748.00248099888,2037.88041363746,2720,1
"NH",2721.25298901556,2699.06174185881,3164,100
"NJ",6301.89922653875,6459.59361488217,7637,1
"NM",3313.93674123428,3630.68408489026,4687,1
"NY",3183.71248707866,3274.92956987431,3824,1
"NC",4366.46304714171,4595.81173699527,5742,0
"ND",1981.2567210869,2265.62442142102,2626,1
"OH",4044.41761655034,4249.32756952128,4940,1
"OK",3199.18498870244,3277.13191673389,4247,0
"OR",2422.04797158745,2512.42839459833,3098,1
"PA",5014.79791814779,5023.13308670687,5713,100
"RI",2794.94106371325,2762.55846919685,3249,1
"SC",5060.96895081303,5084.91842324194,6418,0
"SD",3124.30472723583,3568.221692888,4111,0
"TN",2236.48175000423,2383.15060006134,2949,0
"TX",5058.57217506861,5245.09340890839,7427,0
"UT",4590.85144119618,5118.34139761123,6276,0
"VT",3069.57216974262,3213.72974207344,3529,1
"VA",2550.66761539548,2785.35955165662,3286,0
"WA",5432.98235454316,5952.66417869562,7337,1
"WV",1977.70339853708,2085.54537147133,2632,1
"WI",2198.02180435157,2287.17753219113,2633,100
"WY",2329.57617959263,2705.67228584796,3412,0
"GU",613.729480119194,675.553471188515,934,1
"PR",2697.97385125681,2952.33534337367,3302,1
