"","Personal Doctor Count","Insurance Count","Total Respondents","Medicaid Expansion"
"AL",3300.65209245026,3725.35693564597,4307,0
"AK",1426.5844038443,1824.60930002535,2144,100
"AZ",5381.23172095706,6255.60260894175,7364,100
"AR",1978.00479915735,2155.93869689951,2601,100
"CA",3260.17772182552,3684.21888031719,4377,1
"CO",5057.33285175655,5766.6951286887,6653,1
"CT",3329.39510976126,3615.45872812698,3951,1
"DE",1828.02659749184,1931.81460580714,2135,1
"DC",1494.49094735332,1849.2328739497,2020,1
"FL",3701.29918218489,4012.02964396334,4856,0
"GA",2307.73216895426,2516.82967365593,3151,0
"HI",3099.82944901183,3328.12894365236,3607,1
"ID",1895.49565675137,2253.40408458303,2716,0
"IL",2018.52643131864,2185.17031834721,2521,1
"IN",4577.42439841397,4864.14275039332,5711,100
"IA",3238.82879097218,3725.88722791797,4037,100
"KS",5584.60803815211,5811.79651054414,6816,0
"KY",4515.65980387682,5067.00714971523,5569,1
"LA",2491.00800940188,2707.39021858167,3364,0
"ME",4012.40422650865,4033.22398220911,4537,0
"MD",5179.62917547969,5733.3552571704,6233,1
"MA",6937.86183073424,7429.06400480704,7764,1
"MI",3551.31316556667,3787.58977469021,4195,100
"MN",6125.52440811831,7550.65937549703,8151,1
"MS",1512.73625378221,1681.72656586479,2089,0
"MO",2773.33899820949,3029.90006128586,3521,0
"MT",2610.30331857058,3203.52879525034,3727,0
"NE",8845.49329673541,9773.11324698616,11133,0
"NV",1210.05563191463,1560.32752530965,1865,1
"NH",2610.35021219738,2701.09312393858,3071,100
"NJ",5263.56271935828,5644.39020432624,6465,1
"NM",3054.49904781254,3786.15359961122,4444,1
"NY",2755.85729981092,2987.03660604438,3397,1
"NC",2802.6442726325,3073.40122515173,3624,0
"ND",2745.44259122622,3512.88664753863,3842,1
"OH",4359.94390805994,4836.82207548129,5420,1
"OK",3161.3155063544,3625.04522505127,4211,0
"OR",1977.83822212874,2301.45733294942,2593,1
"PA",4664.66639807341,4872.42791651607,5437,100
"RI",2731.87797041373,2935.56866676438,3209,1
"SC",4170.90298439427,4506.16094263026,5464,0
"SD",2744.46397676038,3302.74169351454,3679,0
"TN",1889.89948005714,2191.06933195148,2558,0
"TX",5130.38239176709,5754.14908469891,7628,0
"UT",5317.02206654551,6413.99318339624,7458,0
"VT",2808.77553133474,3004.22710224468,3212,1
"VA",3600.74174568195,4097.61288984468,4697,0
"WA",3700.58061540526,4461.31160467873,5002,1
"WV",2404.5430331361,2783.77397621466,3091,1
"WI",2838.86385284877,3223.4054901063,3502,100
"WY",2253.62976891381,2741.53674394576,3182,0
"GU",835.188236057497,944.139524911014,1252,1
"PR",2422.96165548859,2816.10917073446,2987,1
