"","Personal Doctor Count","Insurance Count","Total Respondents","Medicaid Expansion"
"AL",2476.48753149223,2713.36830465611,3235,0
"AK",1528.126202712,1829.2814533399,2250,100
"AZ",1412.93219162676,1691.20275625211,2110,100
"AR",2019.32907100201,2022.69095102405,2612,100
"CA",4098.26900555883,4763.11383433219,5739,1
"CO",5242.01591423694,5676.03175643701,6776,1
"CT",3242.63851550216,3429.13295626342,3837,1
"DE",2181.40089357131,2285.75595937241,2586,1
"DC",1849.71698951967,2236.17681251949,2447,1
"FL",12273.9274329439,12958.3472351699,16904,0
"GA",2878.50973587183,3079.0276028987,4039,0
"HI",3293.27224063101,3572.00826467406,3911,1
"ID",2012.59730439629,2252.63958145694,2791,0
"IL",2211.90526367456,2331.05091328563,2797,1
"IN",4112.1551935023,4278.96232295991,5109,100
"IA",3268.74679105037,3651.05333713348,4056,100
"KS",9079.18689941039,9623.8794403142,11579,0
"KY",4287.36717631803,4497.3392602042,5477,1
"LA",1987.04798088359,2106.69829864515,2615,0
"ME",3472.24412109004,3505.63178711446,4012,0
"MD",5242.05003264901,5619.19075063006,6470,1
"MA",6589.99310045345,7070.45370979285,7487,1
"MI",5260.25063389565,5441.29872260286,6329,100
"MN",5213.60992787406,6315.93627770499,7122,1
"MS",2833.5166891915,2837.37705207729,3706,0
"MO",2777.23027548831,3026.07634244762,3542,0
"MT",3396.34977992663,3988.45615457073,4814,0
"NE",6664.87627081147,7270.27709760335,8512,0
"NV",1691.54917058955,1969.22361083436,2536,1
"NH",2795.39103725252,2795.49826269375,3209,100
"NJ",5408.46821839413,5554.31645784917,6642,1
"NM",3158.73142424626,3608.01067245424,4625,1
"NY",3589.11704472021,3784.02508890655,4448,1
"NC",3229.76232437944,3558.38056438212,4409,0
"ND",2851.98170085402,3436.69959561623,3858,1
"OH",4851.99304560175,5202.14319915453,5938,1
"OK",3007.35317165738,3324.33211660076,4107,0
"OR",2202.28804376583,2325.20149525389,2953,1
"PA",4803.34952764503,4955.07788718675,5659,100
"RI",2655.02200234627,2697.26706262489,3245,1
"SC",4031.59632821535,4326.16951871183,5316,0
"SD",2616.49049251499,2995.50337235883,3426,0
"TN",2224.0255593957,2375.4375841411,2896,0
"TX",3594.73945123905,3870.62808468987,5392,0
"UT",4524.57293633261,5306.80205457522,6330,0
"VT",2768.95954086839,2885.26789841723,3180,1
"VA",3197.59224955779,3582.40695395728,4205,0
"WA",4107.45046148717,4658.99821918141,5546,1
"WV",2231.29264500474,2403.60819477542,2942,1
"WI",2625.95355901434,2888.59781015488,3263,100
"WY",2206.71939981804,2568.29469998128,3204,0
"GU",702.854020439552,709.517093759495,943,1
"PR",2427.86182117406,2811.29082048109,2996,1
